	Item	Location	Item	Location	Item	Location	Item	Location				
The Chickie Pickie at Tmoms. Lots of other great veg/vegan stuff too!	Chickie Pickie	tattoed mom										
The Balboa at Blackbird Pizza (RIP).  Hands-down my favorite vegan dish.	Balboa	blackbird										
Los Caballitos on E Passyunk has seitan fajitas I dream about.	Seitan fajitas	Los caballitos										
Imeruli or Adjaruli at Georgian Bread is my current obsession	Imureli	Georgian Bread	Adjaruli	Georgian Bread								
any carrot dish from Pumpkin BYOB; if there's a carrot dish on the menu there i will order it every. time. ||I don't know what farm they source from but one of my favorite dishes I've ever had was a carrot assortment they had as a second course and it took me on a literal taste journey I'd never have before.	Any carrot dish	Pumpkin BYOB										
"I'm with you on the Ethiopian. Almaz Cafe, Abyssinia, Kaffa Crossing, and Dahlak all have great veggie platters."	Anything	Almaz Café	Anything	Abyssinia								
Buffalo Cauliflower @ Front St. Cafe	Buffalo cauliflower	Front St. Café										
The empanadas at Bar Bombón in Rittenhouse Square	Empanadas	Bar Bombon										
My go-tos are|| yellow sauce Goldies sandwich combo with shawarma fries and Turkish coffee shake||Or||Martha mi hoagie from Martha	Martha my hoagie	Martha	Yellow sauce goldie sandwich combo with shwarma fries	Goldie								
The braised greens pide at Stina Pizzeria. Get the carrot appetizer too!	Braised greens pide	Stina Pizzeria										
"Not vegan, but potato, egg, and cheese with broccoli rabe or long hots from Johnny’s Hots is so good. Rivals their scrapple sandwich even which is decidedly not vegetarian."	Potato egg and chease with broccoli rabe	Johnny's hots										
I haven’t been since before the pandemic but the veggie Italian from Cook and Shaker in Olde Richmond is the best vegetarian sandwich I’ve ever had. They used to also have amazing veggie wings but they stopped showing up on the menu	Veggie italian	Cook and Shaker										
"Abe Fishers cauliflower steak, simply divine."	Cauliflower steak	Abe Fishers										
I still miss Govinda's. That pepper steak was to die for.	Pepper steak	Govinda's										
Dan Dan: crispy spicy cucumbers. A must-order every time	Crispy spicy cucumbers	Dan Dan										
"Definitely expensive, but the whole menu at Vedge is amazing"	Anything	vedge										
"Vegan wings (absolute favorite, I order them every time even though I eat meat) and Veggie cheesesteak at The Abbaye in nolibs.||Bourbon and Branch has a lot of great vegan/vegan stuff too. Have enjoyed all of it though they changed their vegan wings and now they suck. They have great pan pizza and sandwiches."	Vegan wings	The Abbaye	Cheesesteak	Abbaye								
Is Blackbird Cafe still open? Their vegan pizza and vegan wings were amazing when I went there before covid times.	Pizza	Blackbird										
"Used to be the Brussels sprouts at Local 44, now it’s the Brussels sprouts at The Love because they come with a very righteous cheese fondue."	Brussel sprouts	Local 44	Brussel sprouts	The Love								
Fried asparagus at Villa di Roma or spicy fried broccoli from Fox & Son (in Reading Terminal)	Fried asparagus	Villa di Roma	Spicy fried broccoli	Fox and Son								
"I’m telling you, the smash burger at pom pom is ridiculous."	Smash burger	Pom Pom										
My partner was vegetarian for many years and our favorite was the seitan cheesesteak at Monk's.	Seitan cheesesteak	Monk's										
Felafel and hummus sandwich at Saad’s (45th & Walnut). It’s enormous and only $6.	Falafel and hummus sandwich	Saad's										
My partner and I moved away from Philly a few years ago but still talk about the wings at Blackbird once a month or so.	wings	blackbird										
The tofu wings at Cedar Point are amazing	Tofu wings	Cedar point										
I get the sweet thai chili seitan wings at Cantina Dos Segundos in nolibs like once a week. Their whole menu slaps and they have bomb margs. Can’t recommend enough. ||Miss Rachels is the best upscale vegan place in the city imo||And special shout out to whatever Triangle’s pizza special is	chili seitan wings	Cantina Dos Segundos	Anything	Miss Rachels								
Edamame dumplings at Buddakhan. ||Any of the veg options at Dizengoff.	Edamame dumplings	Buddakhan	Anything	Dizengoff								
Best falafel I've had is at the middle eastern place in reading terminal.||Edit to add: I've had Goldies and their salt level is just insane :(	Falafel	Middle eastern place in reading terminal										
Italian Hoagie from Grindcore	Italian hoagie	Grindcore house										
"hands down Pot de creme, there used to be a place in NoLibs called ""Koo-zee-doo"" it was like chocolate sex in a cup... its been closed for awhile though."	Pot de crème	koo-zee-doo										
The egg and cheese biscuit sandwich at Molly Mallory’s at RTM	Egg and cheese biscuit	Molly Mallory's										
Ravioli Vasto at Palizzi Social Club	Ravioli Vasto	Palizzi Social Club										
Veggie wings at Juana Tamale are insane	Wings	Juana tamale										
"The [Khao Soi](https://i.imgur.com/jlNvQxM.jpg) with tofu and/or veggies at Trio BYOB up in Fairmount. Literally opened my eyes to Thai food, always thought it was just meh before then."	Khao Soi	Trio BYOB										
Veg Thali at Amma’s	Veg Thali	Ammas										
the tomato pie at cafe carmela’s	Tomato pie	Café Carmelas										
"Monks has a pretty delicious seitan cheesesteak |Goldie and diz are delicious, as is that egg and cheese sandwich at k’far"	Seitan cheesesteak	Monk's	Egg and cheese sandwich	k'far								
Eight Treasure Bean Curd Clay Pot at Unit Su Vege.	Eight treasure bean curd clay pot	Unit Su Vege										
Joes vegan cheesesteak is my wet dream	Cheesesteak	Joes vegan										
The Brussel sprouts at bing bing are the best thing on the menu!	Brussel sprouts	Bing bing										
I like to get Liang pi and biang biang noodles at Xian Sizzling Wok in Chinatown. It's street food from the Chinese city Xian. I know it says single item but I can't get one without the other! They're cheap enough to get both.	Liang pi	Xian Siggling Wok										
"If you havent had the Gobi Masala from New Delhi you're missing out. (Their samosas slap pretty hard too, IMO). I'm veggie myself, hi!"	Gobi Masala	New Delhi										
Don’t sleep on the tofu bahn mi at Local 44. Those pickled veggies are to die for	Tofu bahn mi	local 44										
The Abbaye in NoLibs has Korean Fried Cauliflower that I'm super into. Now every time my mom comes to visit she makes us go there.	Korean fried cauliflower	Abbaye										
Algorithm's Reuben Sandwich is almost unbeatable. I would agree with every Goldie and Triangle Tavern comment as well. Triangle's Country Sweet Vegan Wings are my weekly go-to for takeout.	Reuben Sandwich	Algorithm	Country Sweet vegan wings	Traingle Tavern								
"Tofu banh mi from Streetside is the truth||And I’ll second anything on Alyan’s menu, best falafel in the city IMO (also great kibbi for any meat eating friends)"	Tofu banh mi	Streetside	Falafel	Alyan								
- the grizzli breakfast sandwich at grindcore. the miss rachel’s biscuits are insane||- vegan chorizo burrito at cantina (i also like loco pez but have had better luck at the fishtown location than the one in west)||- hipcity’s nuggets with their house sauce||- monster vegan’s fried oreos/fried nutter butter||- triangle tavern mozzarella sticks or whatever crazy vegan special they’re offering at the time||- (RIP) blackbird’s seitan parm. haven’t been able to find another in the city that compares :(	Grizzli	Grindcore house	vegan chorizo burrito	cantina	biscuits	miss rachel's						
Probably the mushroom burger at Hip City Veg.	mushroom burger	Hip city veg										
My pick would probably be Kalaya's dry red curry but close runners-up to Martha's vegan hoagie and White Yak's veg thenthuk and veg firecracker Momo.	Dry red curry	Kalaya's	Vegan hoagie	Martha								
"Not vegan, but the vegetarian cheesesteak from Monk's is amazing!"	cheesesteak	Monk's										
The karai yasai ramen at nom nom ramen is (imo) the best veggie ramen in the city	karai yasai ramen	nom nom ramen										
"Nashville hot from Algorithm food truck is so damn good. It is not even a little healthy, except for your soul."	Nshvilla hot	algorithm										
National Mechanics has a really phenomenal veggie burger.	veggie burger	national mechanics										
The Korean Style Fried Tofu at Charlie Was a Sinner is insane	Korean style fried tofu	Charlie was a sinner										
Eggplant at Royal Izakaya (I don't know for sure that this is Veg but I suspect it is).	Eggplant	Royal Izakaya										
Gorgonzola Gnocchi from Fiorino in East Falls. Add some of their sun-dried tomato pesto (gratis) to it.	Gorgonzola Gnocchi	Fiorino										
Black Bean burger or Patterson veggie burger from Sister Muhammad’s	Black bean burger	Sister Muhammad's										
Vegan Jawn at Martha - tastes just like an italian hoagie i crave it all the time as a non-vegan	Vegan Jawn	Martha										
The eggplant rolatini at Dante and Luigi’s. Heavenly.	Eggplant rolatini	Dante and luigi's										
The Mushrooms and Cauliflower at [Izakaya by Yanaga](https://www.byyanaga.com/).	Mushroom and cauliflower	Izakaya by Yanage										
Brussels Sprout tacos at Jose Pistola's. They are incredible.	Brussel sprout tacos	Jose pistolas										
• Brussels sprout tacos at Sancho Pistolas|• Salatim at Zahav and/or Laserwolf|• hummus at dizengof|• Kung Pao Cauliflower from Cheu Noodle Bar |• Tomato Pie from Beddia and Tomato Pie from Shackamaxon |• Escarole and Beans from Palizzi	Brussel sprout tacos	Sancho pistolas	Salatim	Zahav	Salatim	Laserwolf	hummus	dizengof	tomato pie	beddia	tomato pie	shackamaxon
"Forget the exact name, but the mushroom pizza at vetri is pretty damn good if you're looking for something on the pricier end. ||Hummus and pita from Diezengoff is definitely up there for me too. That plus a the lemon ice drink and some fresh pickles is hard to beat for a summer lunch."	mushroom pizza	vetri	hummus and pita	Deizengoff								
Tofu hoagie at Fu Wah is still consistently excellent.  Never been disappointed.	Tofu hoagie	Fu wah										
"The vegan enchiladas at Sor Ynez in Fishtown are excellent. They had a really incredible stuffed pepper dish for Philly Vegan Restaurant Week, too. ||All the vegan hand pies at Young American Hard Cider in Germantown are insane. ||And, lots of shout-outs for Algorithim in here already, but gotta add they're amazing breakfast sandwich. Love the Grindcore House breakfast sammies as well."	Vegan enchiladas	Sor Ynez	Vegan hand pies	Young American Hard Cider	Breakfast sandwich	algorithm						
"Apricot stone in Northern Liberties. Falafel plate with lentils, babaganoush and lebni"	Apricot stone	northern liberties										
Mushroom Pizza at Pizzeria Vetri	mushroom pizza	pizzeria vetri										
"20th st pizza is some of the best pizza I’ve ever had, and I’m not even vegan. I’d also highly recommend Unit Suh Vege if you like Chinese food. Make sure to get something that has their steamed buns "	pizza	20th st pizza	Steamed buns	Unit Su Vege								
"Tofu king soup at Vientiane, seitan wings from south Philly tap room or triangle tavern"	Tofu king soup	Vientiane	Seitan wings	Triangle tavern	Seitan wings	South philly tap rom						
Interstate draft house in fishtown has the best sriram wings I have ever had the pleasure of devouring. And there bean burger is fantastic though I usually ask for it cooked hard.	Seitan wings	interstate drafthouse										
Zahav hummus. Always and forever.	hummus	Zahav										
"Vegan ramen at taco & ramen on south st, and some Sichuan at Han Dynasty in olde city"	vegan ramen	ramen										
Saag paneer at karma in old city omg (veg not vegan)	Saag paneer	Karma										
Elotes at Nemi	Elotes	Nemi										
Anything I have had from unsoul food has been amazing	Anything	Unsoul										
"wings from triangle tavern, and the shitake dan dan noodles at bing bing. baba ganoush at suraya. oh damn, and the mickey g from grindcore! there's a lot of amazing veg food here, it's hard to narrow down to just one thing. (:"	wings	Triangle Tavern	shitake dan dan noodles	bing bing	baba ganoush	suraya	mickey g	grindcore				
The smoked coconut club at Memphis Taproom is 	smoked coconut club	Memphis taproom										
"Best falafel, Saad's in West Philly.||Best vegan sandwich place is gonna be Blackbird near the Spring Garden stop||Edit : apparently Blackbird is permanently closed as of the 20th :'("	falafel	saad's										
Vientiane (Laotian food in south Philly and Kensington) sells this crispy rice salad… so goddamn delish!!	crispy rice salad	Vientiane										
"The hummus at Saraya.||Not sure if it's vegan or not, but it's fucking amazing."	Hummus	Saraya										
Lorenzo’s Pizza	Pizza	Lorenzo's pizza										
"Bar Bombon: Peruvian yuca with the aji amarillo sauce, castletrevano olives, fried capers, and cilantro"	Peruvian yuza	bar bombon										
"The spicy cutlet sandwich from Veganish. And the crab cake sandwich and fries at Boardwalk Vegan in Havertown, if you’re ever making your way through Delco."	Spicy cutlet sandwich	Veganish	Crab cake sandwich	boardwalk vegan								
"When I lived there it was Veggie Lovers, New Dehli and Sitar."	Veggie lovers	New Delhi										
"The eggplant at Hardena, second place: anything else at Hardena"	Eggplant	Hardena										
"I wish it was still open late but El Hefe quinoa burrito was great post-work at 230/3am lol ||The Henry at Dolores is awesome (vegetarian)||Hibiscus Cafe’s veg Pattie’s and their chickpea curry. ||The tempeh/tofu, eggplant and jackfruit at Hardena ||And I wish it was still around but Royal Tavern’s tempeh club sandwich was so bangin, it completely opened my world to how to cook with tempeh."	quinoa burrito	heffe tacos										
Did I stutter?||House special at Woody's.	House special	woody's										
